City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,hirara,24.8,125.2833,27.92,89,20,2.57,JP,1726347483
281,besisahar,28.2313,84.3761,20.75,84,97,1.48,NP,1726347485
282,alofi,-19.0595,-169.9187,26.94,69,75,3.6,NU,1726347119
283,tommot,58.9564,126.2925,0.86,93,100,1.16,RU,1726347488
284,pader palwo,2.8006,33.135,19.27,96,99,0.71,UG,1726347490
285,laojunmiao,39.8333,97.7333,12.04,77,9,2.0,CN,1726347491
286,sint michiel liber,12.15,-68.9833,32.9,75,20,4.63,CW,1726347493
287,hami,42.8,93.45,18.94,38,80,5.01,CN,1726347494
288,scarborough,54.2797,-0.4044,15.99,74,98,2.24,GB,1726347342
289,howrah,22.5892,88.3103,26.0,94,100,6.17,IN,1726347499
290,rondonopolis,-16.4708,-54.6356,38.56,13,5,2.48,BR,1726347500
291,syktyvkar,61.6764,50.8099,14.85,100,71,0.0,RU,1726347501
292,huarmey,-10.0681,-78.1522,20.0,73,39,5.65,PE,1726347502
293,arkhangel'sk,64.5401,40.5433,18.06,72,20,2.0,RU,1726347504
294,sao vicente,-23.9631,-46.3919,25.98,65,53,0.51,BR,1726347255
295,ocumare del tuy,10.1165,-66.7761,31.16,62,12,2.64,VE,1726347506
296,santa maria,-29.6842,-53.8069,21.61,60,75,3.09,BR,1726347250
297,nguti,5.3299,9.4185,22.93,96,100,0.82,CM,1726347510
298,machico,32.7,-16.7667,22.78,72,40,4.12,PT,1726347512
299,santana,-0.0583,-51.1817,33.1,58,20,5.14,BR,1726347513
300,rehoboth,-23.3167,17.0833,18.0,12,1,2.77,NA,1726347514
301,khandyga,62.6667,135.6,-1.07,90,99,1.52,RU,1726347515
302,shenjiamen,29.9576,122.298,27.25,90,84,7.55,CN,1726347517
303,afaahiti,-17.75,-149.2833,24.19,86,69,6.03,PF,1726347518
304,skowhegan,44.7651,-69.7192,26.56,54,3,2.23,US,1726347276
305,namibe,-15.1961,12.1522,18.62,88,86,2.27,AO,1726347255
306,st. john's,47.5649,-52.7093,12.66,83,100,9.39,CA,1726347495
307,port lincoln,-34.7333,135.8667,10.42,58,84,10.31,AU,1726347525
308,jiwani,25.05,61.7417,27.02,82,0,3.65,PK,1726347526
309,plymouth,41.8334,-70.8328,26.64,69,1,1.34,US,1726347527
310,nishinoomote,30.7333,131.0,28.39,87,74,9.78,JP,1726347528
311,talnakh,69.4865,88.3972,0.48,75,12,0.66,RU,1726347530
312,port blair,11.6667,92.75,28.08,79,100,6.69,IN,1726347531
313,stanthorpe,-28.6667,151.95,9.12,94,72,1.66,AU,1726347532
314,sao jose da coroa grande,-8.8978,-35.1478,23.92,73,16,3.96,BR,1726347534
315,saint croix,17.7397,-64.7388,30.25,81,40,2.06,VI,1726347535
316,vilyuchinsk,52.9306,158.4028,9.15,71,23,4.13,RU,1726347536
317,monticello,45.3055,-93.7941,25.68,74,100,4.63,US,1726347495
318,tazacorte,28.629,-17.9293,22.54,78,100,5.66,ES,1726347539
319,ciudad rodrigo,40.6,-6.5333,16.03,37,50,1.71,ES,1726347540
320,solnechnyy,50.7214,136.6319,7.11,59,55,1.7,RU,1726347541
321,vitry-le-francois,48.7333,4.5833,10.48,73,7,3.13,FR,1726347543
322,axim,4.8699,-2.2405,24.12,89,98,4.35,GH,1726347544
323,swan hill,-35.3378,143.5544,2.51,78,0,4.78,AU,1726347545
324,bamboo flat,11.7,92.7167,27.59,80,100,6.48,IN,1726347546
325,coari,-4.085,-63.1414,33.14,36,100,1.48,BR,1726347548
326,aleg,17.0481,-13.9209,36.1,35,25,1.98,MR,1726347549
327,westport,41.1415,-73.3579,27.43,63,1,1.79,US,1726347550
328,hermanus,-34.4187,19.2345,11.0,88,2,1.13,ZA,1726347552
329,carutapera,-1.195,-46.02,26.51,77,71,5.34,BR,1726347556
330,daru,-9.0763,143.2092,25.17,89,98,7.6,PG,1726347557
331,rabo de peixe,37.8,-25.5833,20.73,73,20,2.06,PT,1726347558
332,lagos,6.5833,3.75,23.95,95,100,2.13,NG,1726346881
333,mollendo,-17.0231,-72.0147,16.72,71,74,4.11,PE,1726347561
334,weno,7.4515,151.8468,27.97,89,100,2.57,FM,1726347562
335,nar'yan-mar,67.6713,53.087,15.6,86,14,3.85,RU,1726347563
336,nsanje,-16.92,35.262,26.58,36,4,1.57,MW,1726347565
337,queenstown,-31.8976,26.8753,14.76,67,100,4.58,ZA,1726347317
338,panauti,27.5814,85.5124,19.18,100,75,1.03,NP,1726347567
339,patterson,37.4716,-121.1297,32.78,29,0,1.57,US,1726347337
340,port alberni,49.2413,-124.8028,18.11,72,62,2.1,CA,1726347570
341,floro,61.5996,5.0328,11.98,76,100,10.29,NO,1726347571
342,banswara,23.55,74.45,22.67,91,10,2.5,IN,1726347573
343,kununurra,-15.7667,128.7333,15.99,63,88,0.0,AU,1726347574
344,candelaria,13.9311,121.4233,23.96,98,100,2.06,PH,1726347575
345,rosarno,38.4841,15.979,17.48,74,22,2.73,IT,1726347576
346,zhangye,38.9342,100.4517,15.97,66,95,2.89,CN,1726347578
347,tamanrasset,22.785,5.5228,21.95,68,40,2.06,DZ,1726347579
348,peniche,39.3558,-9.3811,21.23,56,28,5.46,PT,1726347582
349,norfolk,42.1668,-71.2495,26.79,65,0,4.63,US,1726347520
350,huilong,31.8111,121.655,27.54,77,93,6.34,CN,1726347584
351,gadzhiyevo,69.2551,33.3362,9.69,90,100,1.25,RU,1726347586
352,sabang,5.8933,95.3214,28.01,78,100,9.73,ID,1726347587
353,amga,60.8953,131.9608,-2.59,94,12,1.09,RU,1726347588
354,essaouira,31.5125,-9.77,22.72,88,0,1.54,MA,1726347314
355,turpan,42.9333,89.1667,22.93,37,7,0.96,CN,1726347592
356,aripuana,-9.1667,-60.6333,39.9,15,7,0.99,BR,1726347593
357,walvis bay,-22.9575,14.5053,12.79,76,5,6.62,NA,1726347595
358,kasane,-17.8167,25.15,24.11,22,0,3.69,BW,1726347596
359,johvi,59.3592,27.4211,17.43,67,77,3.99,EE,1726347598
360,micheweni,-4.9667,39.8333,24.0,78,70,4.46,TZ,1726347599
361,arno,60.1167,18.6333,11.72,70,0,5.06,SE,1726347600
362,sanctuary point,-35.1114,150.629,9.79,53,51,7.9,AU,1726347602
